,test_file,test,base_time_min,base_time_mean,base_time_max,dynamo_time_min,dynamo_time_mean,dynamo_time_max,ratio
960,test_set.py,TestSet.test_symmetric_difference_update,0.116,0.1195,0.125,0.984,0.9875,0.991,8.263598326359833
770,test_set.py,TestFrozenSetSubclass.test_symmetric_difference,0.119,0.12125,0.123,0.967,0.99825,1.067,8.232989690721649
749,test_set.py,TestFrozenSet.test_symmetric_difference,0.117,0.12,0.122,0.928,0.9375,0.949,7.8125
32,test_heapq.py,TestErrorHandlingPython.test_heappop_mutating_heap,0.12,0.1215,0.124,0.92,0.93425,0.969,7.689300411522634
1145,test_generators.py,ExceptionTest.test_nested_gen_except_loop,0.121,0.123,0.125,0.924,0.94575,0.963,7.689024390243902
333,test_math.py,MathTests.testPow,0.12,0.121,0.122,0.893,0.922,0.952,7.619834710743802
61,test_float.py,ReprTestCase.test_short_repr,0.121,0.1215,0.122,0.912,0.9225,0.935,7.5925925925925934
33,test_heapq.py,TestErrorHandlingPython.test_heappush_mutating_heap,0.116,0.121,0.124,0.89,0.91575,0.935,7.568181818181819
999,test_set.py,TestSetSubclass.test_symmetric_difference_update,0.121,0.122,0.123,0.877,0.886,0.899,7.262295081967213
352,test_userlist.py,UserListTest.test_addmul,0.122,0.12275,0.123,0.861,0.87325,0.89,7.114052953156823
778,test_set.py,TestIdentities.test_summations,0.121,0.1225,0.124,0.851,0.8625,0.882,7.040816326530613
83,test_dict.py,DictTest.test_popitem,0.12,0.12275,0.124,0.851,0.85925,0.866,7.0
736,test_set.py,TestFrozenSet.test_contains,0.121,0.122,0.123,0.835,0.841,0.852,6.893442622950819
328,test_math.py,MathTests.testLdexp,0.122,0.12225,0.123,0.815,0.83175,0.85,6.803680981595092
278,test_tuple.py,TupleTest.test_getslice,0.117,0.1195,0.121,0.771,0.7845,0.805,6.564853556485356
1186,test_list.py,ListTest.test_getslice,0.123,0.12325,0.124,0.799,0.80725,0.82,6.549695740365112
776,test_set.py,TestIdentities.test_commutativity,0.118,0.1185,0.119,0.764,0.77575,0.785,6.546413502109705
56,test_float.py,InfNanTest.test_inf_from_str,0.118,0.12075,0.123,0.782,0.7867500000000001,0.795,6.51552795031056
270,test_tuple.py,TupleTest.test_addmul,0.118,0.12125,0.124,0.767,0.7867500000000001,0.795,6.488659793814434
1166,test_userdict.py,UserDictTest.test_read,0.12,0.121,0.122,0.772,0.783,0.791,6.47107438016529
347,test_math.py,MathTests.test_nextafter,0.121,0.12125,0.122,0.781,0.7827500000000001,0.785,6.4556701030927846
1167,test_list.py,ListTest.test_addmul,0.122,0.122,0.122,0.783,0.7865,0.791,6.44672131147541
1103,test_collections.py,TestOneTrickPonyABCs.test_Generator,0.119,0.12,0.121,0.767,0.76975,0.773,6.414583333333334
416,test_int.py,IntTestCases.test_int_base_limits,0.117,0.12075,0.123,0.768,0.77375,0.782,6.407867494824017
1184,test_list.py,ListTest.test_getitem,0.122,0.1225,0.123,0.769,0.78,0.803,6.36734693877551
357,test_userlist.py,UserListTest.test_extendedslicing,0.122,0.1225,0.124,0.766,0.77925,0.798,6.361224489795919
220,test_with.py,AssignmentTargetTestCase.testSingleComplexTarget,0.117,0.12025,0.122,0.762,0.764,0.766,6.353430353430354
1176,test_list.py,ListTest.test_count,0.117,0.1205,0.125,0.753,0.76525,0.773,6.350622406639005
1070,test_collections.py,TestCollectionABCs.test_MutableMapping,0.119,0.12075,0.122,0.756,0.7635000000000001,0.767,6.322981366459628
407,test_int.py,IntStrDigitLimitsTests.test_int_from_other_bases,0.117,0.1185,0.121,0.738,0.74825,0.757,6.314345991561182
65,test_float.py,RoundTestCase.test_large_n,0.117,0.12025,0.122,0.747,0.75725,0.764,6.297297297297297
217,test_itertools.py,TestVariousIteratorArgs.test_accumulate,0.119,0.12225,0.124,0.748,0.768,0.803,6.282208588957055
1071,test_collections.py,TestCollectionABCs.test_MutableMapping_subclass,0.117,0.11775,0.118,0.72,0.7375,0.745,6.263269639065818
463,test_operator.py,PyOperatorTestCase.test_indexOf,0.117,0.117,0.117,0.711,0.7315,0.753,6.252136752136752
753,test_set.py,TestFrozenSetSubclass.test_and,0.117,0.12025,0.122,0.735,0.75125,0.76,6.247401247401247
275,test_tuple.py,TupleTest.test_count,0.118,0.12125,0.123,0.75,0.75725,0.764,6.245360824742268
276,test_tuple.py,TupleTest.test_getitem,0.12,0.12125,0.124,0.749,0.757,0.768,6.243298969072165
218,test_itertools.py,TestVariousIteratorArgs.test_product,0.12,0.121,0.122,0.745,0.75525,0.768,6.241735537190083
1073,test_collections.py,TestCollectionABCs.test_MutableSet,0.119,0.12025,0.122,0.736,0.748,0.761,6.220374220374221
78,test_dict.py,DictTest.test_dictview_set_operations_on_keys,0.119,0.12225,0.124,0.755,0.76025,0.764,6.21881390593047
1083,test_collections.py,TestCollectionABCs.test_issue8750,0.119,0.12025,0.121,0.733,0.74775,0.755,6.218295218295219
36,test_heapq.py,TestHeapPython.test_merge_does_not_suppress_index_error,0.12,0.12075,0.121,0.744,0.75,0.755,6.211180124223603
355,test_userlist.py,UserListTest.test_delslice,0.118,0.121,0.123,0.741,0.75075,0.763,6.204545454545455
312,test_math.py,MathTests.testCeil,0.117,0.1195,0.121,0.725,0.74075,0.752,6.1987447698744775
775,test_set.py,TestIdentities.test_binopsVsSubsets,0.118,0.1205,0.123,0.737,0.74625,0.753,6.192946058091287
1133,test_sys.py,SysModuleTest.test_module_names,0.121,0.122,0.124,0.745,0.7555000000000001,0.781,6.192622950819673
234,test_with.py,NestedNonexceptionalTestCase.testMultipleArgUnbound,0.118,0.121,0.123,0.744,0.74925,0.755,6.1921487603305785
40,test_float.py,GeneralFloatCases.test_float_mod,0.117,0.118,0.12,0.727,0.72975,0.734,6.184322033898305
385,test_iter.py,TestCase.test_iter_independence,0.117,0.1195,0.122,0.728,0.738,0.743,6.175732217573222
410,test_int.py,IntStrDigitLimitsTests.test_power_of_two_bases_unlimited,0.12,0.1215,0.123,0.738,0.74975,0.758,6.170781893004116
1067,test_collections.py,TestChainMap.test_order_preservation,0.117,0.11875,0.123,0.729,0.73225,0.737,6.166315789473684
1183,test_list.py,ListTest.test_extendedslicing,0.118,0.11925,0.121,0.726,0.7344999999999999,0.746,6.159329140461216
59,test_float.py,InfNanTest.test_nan_from_str,0.119,0.1205,0.122,0.737,0.7415,0.745,6.153526970954357
323,test_math.py,MathTests.testFmod,0.12,0.12075,0.122,0.741,0.74275,0.745,6.151138716356108
314,test_math.py,MathTests.testCopysign,0.116,0.12,0.123,0.726,0.738,0.748,6.15
1102,test_collections.py,TestOneTrickPonyABCs.test_Callable,0.121,0.1235,0.127,0.752,0.7595000000000001,0.77,6.149797570850203
176,test_itertools.py,TestBasicOps.test_chain,0.12,0.12025,0.121,0.723,0.7395,0.757,6.14968814968815
132,test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_iterators_empty,0.116,0.11925,0.122,0.731,0.73275,0.736,6.144654088050315
349,test_math.py,MathTests.test_trunc,0.118,0.11925,0.122,0.728,0.73225,0.736,6.140461215932914
309,test_math.py,MathTests.testAtan2,0.122,0.123,0.124,0.747,0.7545,0.763,6.134146341463414
155,test_ordered_dict.py,CPythonSubclassMappingTests.test_write,0.117,0.121,0.123,0.737,0.741,0.744,6.12396694214876
765,test_set.py,TestFrozenSetSubclass.test_or,0.118,0.1205,0.123,0.727,0.73775,0.744,6.12240663900415
995,test_set.py,TestSetSubclass.test_sub,0.118,0.1195,0.123,0.72,0.7315,0.745,6.121338912133892
254,test_with.py,NonexceptionalTestCase.testNestedSingleStatements,0.117,0.121,0.127,0.726,0.7404999999999999,0.749,6.119834710743802
289,test_tuple.py,TupleTest.test_subscript,0.121,0.12175,0.122,0.738,0.745,0.751,6.119096509240246
967,test_set.py,TestSetSubclass.test_and,0.119,0.12025,0.121,0.721,0.7355,0.743,6.116424116424117
102,test_dict.py,GeneralMappingTests.test_write,0.121,0.12225,0.124,0.746,0.747,0.749,6.110429447852761
329,test_math.py,MathTests.testLog,0.12,0.12125,0.123,0.722,0.74075,0.755,6.109278350515464
919,test_set.py,TestOnlySetsTuple.test_ge_gt_le_lt,0.117,0.12,0.122,0.727,0.73275,0.739,6.10625
986,test_set.py,TestSetSubclass.test_or,0.118,0.1205,0.123,0.729,0.7355,0.749,6.103734439834025
773,test_set.py,TestFrozenSetSubclass.test_xor,0.118,0.11875,0.12,0.717,0.724,0.736,6.096842105263158
1095,test_collections.py,TestCounter.test_unary,0.118,0.11875,0.12,0.699,0.724,0.747,6.096842105263158
895,test_set.py,TestOnlySetsOperator.test_ge_gt_le_lt,0.117,0.121,0.123,0.731,0.7375,0.74,6.09504132231405
311,test_math.py,MathTests.testCbrt,0.117,0.119,0.122,0.7,0.72525,0.736,6.09453781512605
744,test_set.py,TestFrozenSet.test_or,0.117,0.1205,0.122,0.73,0.734,0.739,6.091286307053942
930,test_set.py,TestSet.test_and,0.12,0.12225,0.124,0.723,0.74425,0.753,6.087934560327199
957,test_set.py,TestSet.test_sub_and_super,0.116,0.1175,0.118,0.703,0.7132499999999999,0.725,6.070212765957447
881,test_set.py,TestOnlySetsNumeric.test_ge_gt_le_lt,0.119,0.12025,0.122,0.719,0.729,0.738,6.062370062370063
113,test_dict.py,SubclassMappingTests.test_write,0.121,0.12125,0.122,0.715,0.735,0.753,6.061855670103093
902,test_set.py,TestOnlySetsOperator.test_union,0.116,0.11825,0.119,0.712,0.71675,0.726,6.061310782241015
157,test_ordered_dict.py,CSimpleLRUCacheTests.test_pop,0.119,0.1215,0.125,0.72,0.73575,0.75,6.055555555555556
1016,test_set.py,TestUpdateOps.test_sym_difference_overlap,0.117,0.119,0.123,0.705,0.7204999999999999,0.747,6.054621848739496
1090,test_collections.py,TestCounter.test_helper_function,0.12,0.12175,0.124,0.73,0.73675,0.747,6.051334702258727
315,test_math.py,MathTests.testCos,0.118,0.121,0.123,0.726,0.732,0.74,6.049586776859504
292,test_tuple.py,TupleTest.test_tupleresizebug,0.122,0.1235,0.125,0.734,0.7464999999999999,0.754,6.044534412955465
947,test_set.py,TestSet.test_or,0.12,0.12225,0.123,0.73,0.73875,0.748,6.042944785276074
1182,test_list.py,ListTest.test_extend,0.122,0.12275,0.125,0.741,0.74175,0.742,6.042769857433809
338,test_math.py,MathTests.testTan,0.118,0.12,0.121,0.721,0.725,0.729,6.041666666666667
305,test_math.py,MathTests.testAcosh,0.12,0.1215,0.123,0.719,0.73375,0.742,6.039094650205762
964,test_set.py,TestSet.test_xor,0.121,0.1215,0.123,0.73,0.73375,0.737,6.039094650205762
1157,test_generators.py,GeneratorThrowTest.test_exception_context_with_yield_from,0.115,0.11925,0.122,0.712,0.71975,0.727,6.035639412997904
1203,test_list.py,ListTest.test_setitem,0.117,0.1205,0.124,0.721,0.72725,0.731,6.035269709543568
607,test_set.py,TestBasicOpsString.test_union_empty,0.118,0.11975,0.123,0.714,0.7224999999999999,0.726,6.033402922755741
1066,test_collections.py,TestChainMap.test_new_child,0.116,0.12025,0.123,0.696,0.7255,0.738,6.033264033264034
978,test_set.py,TestSetSubclass.test_inplace_on_self,0.118,0.121,0.123,0.725,0.73,0.74,6.033057851239669
182,test_itertools.py,TestBasicOps.test_zip,0.121,0.12175,0.123,0.732,0.7344999999999999,0.738,6.032854209445585
1089,test_collections.py,TestCounter.test_gt,0.117,0.11875,0.123,0.695,0.7162499999999999,0.734,6.031578947368421
310,test_math.py,MathTests.testAtanh,0.118,0.12125,0.123,0.71,0.73125,0.748,6.030927835051546
956,test_set.py,TestSet.test_sub,0.117,0.12,0.122,0.718,0.7235,0.732,6.029166666666667
565,test_set.py,TestBasicOpsMixedStringBytes.test_self_union,0.118,0.119,0.12,0.709,0.7172499999999999,0.727,6.027310924369748
777,test_set.py,TestIdentities.test_exclusion,0.122,0.12425,0.126,0.744,0.74875,0.754,6.0261569416499
451,test_operator.py,PyOperatorTestCase.test_bitwise_xor,0.116,0.118,0.122,0.704,0.711,0.717,6.02542372881356
322,test_math.py,MathTests.testFloor,0.116,0.12025,0.122,0.709,0.7244999999999999,0.741,6.024948024948024
936,test_set.py,TestSet.test_equality,0.119,0.1205,0.121,0.719,0.726,0.733,6.024896265560166
661,test_set.py,TestBinaryOps.test_sym_difference_subset,0.117,0.11875,0.121,0.702,0.715,0.727,6.021052631578947
1001,test_set.py,TestSetSubclass.test_uniquification,0.118,0.11925,0.121,0.706,0.7175,0.727,6.016771488469602
454,test_operator.py,PyOperatorTestCase.test_contains,0.118,0.12,0.122,0.716,0.722,0.727,6.016666666666667
238,test_with.py,NestedNonexceptionalTestCase.testSingleArgUnbound,0.12,0.12125,0.122,0.723,0.72925,0.739,6.014432989690722
734,test_set.py,TestFrozenSet.test_and,0.121,0.122,0.123,0.721,0.73375,0.745,6.014344262295082
1012,test_set.py,TestUpdateOps.test_intersection_subset,0.118,0.11875,0.121,0.69,0.71375,0.741,6.010526315789474
939,test_set.py,TestSet.test_init,0.118,0.119,0.122,0.698,0.7152499999999999,0.74,6.010504201680672
555,test_set.py,TestBasicOpsMixedStringBytes.test_equivalent_equality,0.117,0.119,0.123,0.698,0.7152499999999999,0.729,6.010504201680672
453,test_operator.py,PyOperatorTestCase.test_concat,0.12,0.12075,0.122,0.719,0.72575,0.734,6.010351966873706
129,test_ordered_dict.py,CPythonGeneralMappingTests.test_write,0.122,0.12275,0.124,0.725,0.7375,0.745,6.008146639511202
1040,test_contextlib.py,ContextManagerTestCase.test_recursive,0.119,0.11925,0.12,0.705,0.7162499999999999,0.725,6.0062893081761
940,test_set.py,TestSet.test_inplace_on_self,0.118,0.1215,0.124,0.72,0.7295,0.74,6.004115226337449
126,test_ordered_dict.py,CPythonGeneralMappingTests.test_read,0.121,0.12225,0.123,0.723,0.73325,0.75,5.997955010224949
606,test_set.py,TestBasicOpsString.test_self_union,0.117,0.119,0.121,0.695,0.71375,0.725,5.9978991596638656
178,test_itertools.py,TestBasicOps.test_cycle,0.119,0.1215,0.123,0.716,0.7284999999999999,0.737,5.995884773662551
1199,test_list.py,ListTest.test_repr_large,0.165,0.16625,0.167,0.993,0.9965,0.999,5.993984962406015
142,test_ordered_dict.py,CPythonOrderedDictTests.test_iterators_empty,0.12,0.1215,0.123,0.721,0.72825,0.732,5.993827160493827
1178,test_list.py,ListTest.test_delitem,0.118,0.12,0.122,0.699,0.71925,0.734,5.99375
1005,test_set.py,TestUpdateOps.test_difference_non_overlap,0.117,0.1185,0.122,0.699,0.7102499999999999,0.72,5.993670886075949
288,test_tuple.py,TupleTest.test_repr_large,0.164,0.16725,0.174,0.994,1.00225,1.009,5.99252615844544
1171,test_list.py,ListTest.test_clear,0.117,0.11875,0.121,0.701,0.7115,0.717,5.991578947368422
472,test_operator.py,PyOperatorTestCase.test_matmul,0.118,0.12075,0.122,0.718,0.72325,0.733,5.989648033126294
177,test_itertools.py,TestBasicOps.test_chain_from_iterable,0.119,0.12075,0.123,0.717,0.72325,0.733,5.989648033126294
746,test_set.py,TestFrozenSet.test_sub,0.117,0.12125,0.124,0.72,0.726,0.73,5.9876288659793815
196,test_itertools.py,TestExamples.test_permutations,0.12,0.12075,0.121,0.716,0.723,0.731,5.987577639751553
194,test_itertools.py,TestExamples.test_islice,0.117,0.1205,0.122,0.712,0.72125,0.729,5.985477178423237
1155,test_generators.py,GeneratorTest.test_send_non_none_to_new_gen,0.117,0.119,0.122,0.692,0.71175,0.732,5.98109243697479
858,test_set.py,TestOnlySetsDict.test_difference,0.117,0.11875,0.121,0.706,0.7102499999999999,0.713,5.981052631578947
456,test_operator.py,PyOperatorTestCase.test_delitem,0.118,0.12075,0.122,0.718,0.72175,0.727,5.977225672877847
1009,test_set.py,TestUpdateOps.test_intersection_method_call,0.116,0.11775,0.12,0.695,0.70375,0.713,5.976645435244161
583,test_set.py,TestBasicOpsSingleton.test_self_equality,0.117,0.11975,0.122,0.713,0.7152499999999999,0.722,5.97286012526096
651,test_set.py,TestBinaryOps.test_intersection_non_overlap,0.117,0.1185,0.121,0.688,0.70775,0.717,5.972573839662448
390,test_iter.py,TestCase.test_nested_comprehensions_for,0.118,0.12125,0.124,0.71,0.724,0.744,5.971134020618557
907,test_set.py,TestOnlySetsString.test_ge_gt_le_lt,0.121,0.12225,0.123,0.721,0.72975,0.745,5.969325153374234
452,test_operator.py,PyOperatorTestCase.test_call,0.121,0.12175,0.122,0.71,0.7264999999999999,0.734,5.967145790554414
75,test_dict.py,DictTest.test_copy_noncompact,0.12,0.12125,0.124,0.715,0.7235,0.746,5.967010309278351
81,test_dict.py,DictTest.test_get,0.12,0.1205,0.121,0.711,0.719,0.733,5.966804979253112
920,test_set.py,TestOnlySetsTuple.test_intersection,0.118,0.11925,0.121,0.705,0.711,0.719,5.962264150943396
479,test_operator.py,PyOperatorTestCase.test_pos,0.117,0.11875,0.121,0.698,0.708,0.718,5.962105263157895
849,test_set.py,TestMutate.test_discard_absent,0.117,0.11875,0.122,0.705,0.708,0.711,5.962105263157895
473,test_operator.py,PyOperatorTestCase.test_methodcaller,0.118,0.121,0.122,0.705,0.72125,0.738,5.960743801652892
594,test_set.py,TestBasicOpsString.test_empty_symmetric_difference,0.118,0.11925,0.122,0.701,0.71075,0.735,5.9601677148846965
523,test_set.py,TestBasicOpsBytes.test_self_intersection,0.119,0.12125,0.123,0.714,0.7224999999999999,0.73,5.958762886597937
515,test_set.py,TestBasicOpsBytes.test_empty_union,0.117,0.12075,0.123,0.712,0.7195,0.732,5.958592132505176
1131,test_sys.py,SysModuleTest.test_implementation,0.116,0.1185,0.123,0.701,0.706,0.713,5.957805907172996
587,test_set.py,TestBasicOpsSingleton.test_self_union,0.118,0.12075,0.122,0.717,0.71925,0.721,5.956521739130435
308,test_math.py,MathTests.testAtan,0.117,0.12075,0.123,0.707,0.71925,0.745,5.956521739130435
131,test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_issue24667,0.121,0.122,0.123,0.711,0.7264999999999999,0.761,5.9549180327868845
1169,test_list.py,ListTest.test_basic,0.119,0.11975,0.121,0.705,0.713,0.72,5.954070981210856
887,test_set.py,TestOnlySetsNumeric.test_sym_difference_update_operator,0.116,0.11725,0.118,0.692,0.698,0.704,5.953091684434968
1031,test_contextlib.py,ContextManagerTestCase.test_contextmanager_finally,0.119,0.12125,0.124,0.707,0.72175,0.749,5.952577319587629
1063,test_collections.py,TestChainMap.test_dict_coercion,0.117,0.12025,0.122,0.704,0.71575,0.729,5.952182952182953
1175,test_list.py,ListTest.test_copy,0.121,0.1225,0.124,0.724,0.72875,0.74,5.948979591836735
1023,test_set.py,TestUpdateOps.test_union_superset,0.118,0.12,0.122,0.701,0.71375,0.726,5.947916666666667
639,test_set.py,TestBasicOpsTuple.test_issue_37219,0.116,0.1195,0.123,0.704,0.7104999999999999,0.718,5.945606694560669
664,test_set.py,TestBinaryOps.test_union_overlap,0.118,0.11925,0.122,0.7,0.709,0.717,5.945492662473795
99,test_dict.py,GeneralMappingTests.test_read,0.122,0.12325,0.124,0.723,0.73275,0.744,5.9452332657200815
455,test_operator.py,PyOperatorTestCase.test_countOf,0.122,0.1225,0.123,0.719,0.72825,0.744,5.944897959183673
304,test_math.py,MathTests.testAcos,0.122,0.123,0.125,0.715,0.731,0.745,5.943089430894309
578,test_set.py,TestBasicOpsSingleton.test_issue_37219,0.118,0.11925,0.122,0.702,0.7084999999999999,0.713,5.9412997903563936
1179,test_list.py,ListTest.test_delslice,0.12,0.1215,0.123,0.704,0.72175,0.745,5.940329218106996
526,test_set.py,TestBasicOpsBytes.test_self_union,0.119,0.12,0.121,0.706,0.71275,0.722,5.939583333333333
994,test_set.py,TestSetSubclass.test_set_literal_insertion_order,0.117,0.118,0.119,0.693,0.70075,0.711,5.938559322033899
85,test_dict.py,DictTest.test_reverse_iterator_for_empty_dict,0.119,0.1215,0.124,0.706,0.7215,0.733,5.938271604938272
175,test_itertools.py,RegressionTests.test_sf_950057,0.117,0.12025,0.124,0.694,0.714,0.732,5.9376299376299375
74,test_dict.py,DictTest.test_copy,0.117,0.1195,0.123,0.688,0.7095,0.728,5.93723849372385
395,test_iter.py,TestCase.test_seq_class_iter,0.117,0.119,0.123,0.701,0.7064999999999999,0.714,5.936974789915966
562,test_set.py,TestBasicOpsMixedStringBytes.test_self_intersection,0.121,0.122,0.123,0.712,0.72425,0.73,5.936475409836065
233,test_with.py,NestedNonexceptionalTestCase.testMultipleArgBound,0.121,0.12175,0.123,0.717,0.72275,0.725,5.936344969199179
1048,test_contextlib.py,TestContextDecorator.test_contextmanager_as_decorator,0.119,0.121,0.122,0.709,0.7182499999999999,0.726,5.93595041322314
467,test_operator.py,PyOperatorTestCase.test_is_not,0.119,0.11975,0.12,0.707,0.7104999999999999,0.713,5.933194154488517
1020,test_set.py,TestUpdateOps.test_union_non_overlap,0.118,0.11975,0.121,0.705,0.7102499999999999,0.717,5.931106471816284
591,test_set.py,TestBasicOpsString.test_empty_difference_rev,0.116,0.11925,0.122,0.69,0.7072499999999999,0.72,5.930817610062893
356,test_userlist.py,UserListTest.test_exhausted_iterator,0.122,0.12275,0.124,0.717,0.728,0.741,5.930753564154786
397,test_iter.py,TestCase.test_sinkstate_dict,0.119,0.12175,0.125,0.698,0.722,0.741,5.930184804928131
1068,test_collections.py,TestChainMap.test_ordering,0.121,0.121,0.121,0.704,0.7175,0.733,5.929752066115703
1085,test_collections.py,TestCollectionABCs.test_issue_5647,0.118,0.12125,0.124,0.712,0.7184999999999999,0.728,5.925773195876288
648,test_set.py,TestBasicOpsTuple.test_self_union,0.12,0.121,0.123,0.704,0.717,0.735,5.925619834710743
522,test_set.py,TestBasicOpsBytes.test_self_equality,0.118,0.12,0.122,0.693,0.711,0.723,5.925
1187,test_list.py,ListTest.test_iadd,0.121,0.1225,0.124,0.716,0.72575,0.738,5.924489795918367
547,test_set.py,TestBasicOpsEmpty.test_union_empty,0.121,0.12125,0.122,0.715,0.7182499999999999,0.725,5.923711340206185
582,test_set.py,TestBasicOpsSingleton.test_self_difference,0.118,0.12,0.123,0.707,0.71075,0.718,5.922916666666667
647,test_set.py,TestBasicOpsTuple.test_self_symmetric_difference,0.116,0.119,0.125,0.693,0.70475,0.713,5.9222689075630255
929,test_set.py,TestSet.test_add,0.121,0.1215,0.122,0.705,0.7195,0.732,5.921810699588478
39,test_float.py,GeneralFloatCases.test_float_floor,0.119,0.12125,0.123,0.699,0.718,0.726,5.921649484536083
739,test_set.py,TestFrozenSet.test_equality,0.122,0.12275,0.123,0.719,0.72675,0.734,5.920570264765784
376,test_iter.py,TestCase.test_iter_callable,0.12,0.1205,0.122,0.705,0.7132499999999999,0.721,5.91908713692946
625,test_set.py,TestBasicOpsTriple.test_self_symmetric_difference,0.118,0.1205,0.123,0.702,0.7132499999999999,0.718,5.91908713692946
1193,test_list.py,ListTest.test_list_resize_overflow,0.118,0.1195,0.122,0.694,0.7072499999999999,0.717,5.918410041841004
891,test_set.py,TestOnlySetsOperator.test_difference,0.117,0.119,0.123,0.685,0.70425,0.725,5.918067226890757
1093,test_collections.py,TestCounter.test_lt,0.117,0.1205,0.122,0.687,0.713,0.731,5.91701244813278
35,test_heapq.py,TestHeapPython.test_heappushpop,0.121,0.1225,0.123,0.719,0.72475,0.729,5.916326530612245
509,test_set.py,TestBasicOpsBytes.test_copy,0.119,0.121,0.123,0.708,0.71575,0.728,5.9152892561983474
38,test_float.py,GeneralFloatCases.test_float_ceil,0.118,0.12175,0.124,0.704,0.72,0.733,5.9137577002053385
140,test_ordered_dict.py,CPythonOrderedDictTests.test_fromkeys,0.12,0.1215,0.123,0.713,0.7184999999999999,0.727,5.91358024691358
521,test_set.py,TestBasicOpsBytes.test_self_difference,0.118,0.121,0.123,0.713,0.7155,0.718,5.913223140495868
954,test_set.py,TestSet.test_set_literal_evaluation_order,0.116,0.11875,0.122,0.698,0.702,0.706,5.911578947368421
553,test_set.py,TestBasicOpsMixedStringBytes.test_empty_symmetric_difference,0.119,0.1205,0.124,0.703,0.7122499999999999,0.726,5.910788381742738
