test_file,test,base_time_min,base_time_mean,base_time_max,dynamo_time_min,dynamo_time_mean,dynamo_time_max,ratio
test_operator.py,PyOperatorTestCase.test_truth,0.117,0.12125,0.128,0.445,0.44675,0.448,3.6845360824742266
test_collections.py,TestCollectionABCs.test_isdisjoint_Set,0.115,0.11825,0.12,0.424,0.4355,0.442,3.682875264270613
test_iter.py,TestCase.test_iter_independence,0.116,0.11775,0.12,0.426,0.43325,0.438,3.6794055201698517
test_collections.py,TestCollectionABCs.test_MutableMapping,0.115,0.119,0.121,0.427,0.4375,0.443,3.6764705882352944
test_dict.py,DictTest.test_splittable_pop_pending,0.118,0.11875,0.119,0.435,0.43625,0.438,3.673684210526316
test_tuple.py,TupleTest.test_getslice,0.12,0.12025,0.121,0.439,0.44175,0.448,3.6735966735966734
test_collections.py,TestCollectionABCs.test_MutableSet,0.116,0.11825,0.121,0.424,0.43374999999999997,0.448,3.668076109936575
test_iter.py,TestCase.test_nested_comprehensions_for,0.117,0.119,0.121,0.43,0.43625,0.444,3.665966386554622
test_list.py,ListTest.test_getitemoverwriteiter,0.12,0.12025,0.121,0.435,0.44075,0.443,3.6652806652806653
test_iter.py,TestCase.test_nested_comprehensions_iter,0.116,0.118,0.12,0.424,0.43174999999999997,0.442,3.6588983050847457
test_with.py,ExceptionalTestCase.testRaisedGeneratorExit2,0.116,0.11625,0.117,0.422,0.425,0.428,3.6559139784946235
test_dict.py,DictTest.test_splittable_popitem,0.12,0.12075,0.121,0.44,0.441,0.442,3.6521739130434785
test_range.py,RangeTest.test_large_range,0.118,0.12025,0.121,0.432,0.439,0.445,3.6507276507276507
test_userlist.py,UserListTest.test_getitemoverwriteiter,0.119,0.12,0.121,0.429,0.438,0.448,3.6500000000000004
test_list.py,ListTest.test_lt_operator_modifying_operand,0.12,0.121,0.122,0.436,0.44125000000000003,0.446,3.6466942148760335
test_dict.py,DictTest.test_dictitems_contains_use_after_free,0.118,0.119,0.12,0.42,0.433,0.441,3.638655462184874
test_collections.py,TestOneTrickPonyABCs.test_Callable,0.12,0.12075,0.122,0.434,0.43925000000000003,0.451,3.63768115942029
test_list.py,ListTest.test_getitem,0.117,0.1195,0.123,0.433,0.43425,0.436,3.6338912133891217
test_float.py,InfNanTest.test_inf_from_str,0.119,0.1195,0.12,0.428,0.4325,0.44,3.6192468619246863
test_bool.py,BoolTest.test_bool_called_at_least_once,0.119,0.1195,0.121,0.421,0.43225,0.44,3.6171548117154817
test_generators.py,GeneratorCloseTest.test_close_not_started,0.117,0.11875,0.122,0.391,0.4295,0.472,3.616842105263158
test_iter.py,TestCase.test_new_style_iter_class,0.116,0.11975,0.122,0.43,0.43274999999999997,0.435,3.613778705636743
test_contextlib.py,TestAbstractContextManager.test_enter,0.116,0.11675,0.117,0.415,0.42074999999999996,0.434,3.6038543897216266
test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_overridden_init,0.12,0.12075,0.122,0.429,0.43474999999999997,0.442,3.600414078674948
test_contextlib.py,NullcontextTestCase.test_nullcontext,0.117,0.119,0.121,0.424,0.428,0.432,3.596638655462185
test_tuple.py,TupleTest.test_getitemoverwriteiter,0.12,0.12075,0.122,0.432,0.43425,0.437,3.596273291925466
test_ordered_dict.py,CPythonOrderedDictTests.test_overridden_init,0.12,0.12175,0.123,0.436,0.43725,0.44,3.591375770020534
test_with.py,ExitSwallowsExceptionTestCase.testExitTrueSwallowsException,0.116,0.11625,0.117,0.416,0.417,0.418,3.587096774193548
test_int.py,IntTestCases.test_int_base_limits,0.117,0.1195,0.122,0.424,0.4285,0.435,3.585774058577406
test_collections.py,TestCounter.test_helper_function,0.116,0.117,0.12,0.416,0.4185,0.421,3.5769230769230766
test_with.py,ExitSwallowsExceptionTestCase.testExitFalseDoesntSwallowException,0.117,0.117,0.117,0.414,0.418,0.423,3.5726495726495724
test_complex.py,ComplexTest.test_repr_str,0.118,0.11925,0.12,0.422,0.42425,0.428,3.557651991614256
test_set.py,TestFrozenSetSubclass.test_and,0.117,0.119,0.123,0.418,0.4225,0.429,3.550420168067227
test_heapq.py,TestHeapPython.test_merge_does_not_suppress_index_error,0.115,0.11725,0.12,0.412,0.41574999999999995,0.419,3.5458422174840085
test_operator.py,PyOperatorTestCase.test___all__,0.119,0.1205,0.121,0.425,0.4265,0.429,3.5394190871369293
test_float.py,RoundTestCase.test_large_n,0.115,0.116,0.118,0.402,0.41025,0.413,3.5366379310344827
test_userlist.py,UserListTest.test_delslice,0.116,0.11825,0.121,0.413,0.418,0.427,3.5348837209302326
test_dict.py,SubclassMappingTests.test_write,0.117,0.118,0.119,0.413,0.416,0.419,3.5254237288135593
test_ordered_dict.py,CPythonGeneralMappingTests.test_write,0.121,0.12175,0.123,0.421,0.42874999999999996,0.44,3.521560574948665
test_dict.py,GeneralMappingTests.test_write,0.115,0.1165,0.12,0.408,0.41025,0.414,3.521459227467811
test_dict.py,DictTest.test_copy_noncompact,0.115,0.1185,0.12,0.406,0.41725,0.426,3.5210970464135025
test_ordered_dict.py,CPythonGeneralMappingTests.test_read,0.116,0.11875,0.121,0.412,0.41774999999999995,0.424,3.517894736842105
test_range.py,RangeTest.test_large_operands,0.116,0.118,0.12,0.407,0.415,0.42,3.516949152542373
test_itertools.py,TestBasicOps.test_zip,0.12,0.12075,0.122,0.42,0.42374999999999996,0.427,3.5093167701863353
test_range.py,RangeTest.test_attributes,0.117,0.11925,0.12,0.414,0.41825,0.422,3.507337526205451
test_set.py,TestFrozenSet.test_and,0.12,0.1215,0.124,0.422,0.426,0.429,3.506172839506173
test_collections.py,TestChainMap.test_order_preservation,0.116,0.1175,0.119,0.409,0.41174999999999995,0.414,3.504255319148936
test_float.py,InfNanTest.test_nan_from_str,0.119,0.11925,0.12,0.41,0.4175,0.425,3.50104821802935
test_int.py,IntStrDigitLimitsTests.test_int_from_other_bases,0.116,0.1185,0.121,0.408,0.41474999999999995,0.419,3.4999999999999996
test_math.py,MathTests.testAtan2,0.114,0.11675,0.12,0.403,0.40775,0.411,3.4925053533190575
test_ordered_dict.py,CPythonSubclassMappingTests.test_write,0.12,0.121,0.122,0.414,0.42174999999999996,0.43,3.485537190082644
test_collections.py,TestCollectionABCs.test_issue8750,0.119,0.12,0.121,0.415,0.418,0.42,3.4833333333333334
test_set.py,TestFrozenSetSubclass.test_or,0.12,0.12025,0.121,0.415,0.41874999999999996,0.423,3.482328482328482
test_dict.py,GeneralMappingTests.test_read,0.118,0.11875,0.119,0.402,0.41325,0.422,3.4800000000000004
test_tuple.py,TupleTest.test_getitem,0.119,0.12,0.122,0.416,0.41674999999999995,0.418,3.4729166666666664
test_operator.py,PyOperatorTestCase.test_indexOf,0.119,0.12,0.121,0.414,0.41674999999999995,0.419,3.4729166666666664
test_operator.py,PyOperatorTestCase.test_countOf,0.116,0.11725000000000001,0.119,0.404,0.40625,0.41,3.464818763326226
test_heapq.py,TestErrorHandlingPython.test_non_sequence,0.117,0.118,0.12,0.403,0.40875,0.415,3.4639830508474576
test_userdict.py,UserDictTest.test_get,0.118,0.11875,0.119,0.399,0.41,0.415,3.4526315789473685
test_itertools.py,TestBasicOps.test_chain,0.119,0.12025,0.122,0.408,0.41374999999999995,0.418,3.4407484407484406
test_ordered_dict.py,CSimpleLRUCacheTests.test_pop,0.117,0.11925,0.122,0.404,0.41025,0.418,3.4402515723270444
test_math.py,MathTests.testFmod,0.118,0.12075,0.125,0.411,0.415,0.419,3.4368530020703933
test_set.py,TestFrozenSetSubclass.test_sub,0.116,0.11825,0.121,0.405,0.40625,0.409,3.4355179704016914
test_tuple.py,TupleTest.test_tupleresizebug,0.119,0.12075,0.122,0.409,0.41474999999999995,0.427,3.434782608695652
test_heapq.py,TestErrorHandlingPython.test_arg_parsing,0.114,0.11525,0.116,0.391,0.39575000000000005,0.406,3.433839479392625
test_set.py,TestOnlySetsOperator.test_ge_gt_le_lt,0.117,0.11800000000000001,0.121,0.394,0.40475,0.412,3.4300847457627115
test_set.py,TestOnlySetsString.test_ge_gt_le_lt,0.117,0.11775,0.119,0.402,0.4035,0.405,3.4267515923566885
test_list.py,ListTest.test_setitem,0.117,0.1175,0.118,0.4,0.4025,0.406,3.4255319148936176
test_with.py,NestedNonexceptionalTestCase.testMultipleArgUnbound,0.119,0.11975,0.12,0.409,0.41,0.412,3.4237995824634653
test_collections.py,TestNamedTuple.test_odd_sizes,0.119,0.12,0.121,0.404,0.4105,0.416,3.4208333333333334
test_int.py,IntStrDigitLimitsTests.test_power_of_two_bases_unlimited,0.12,0.121,0.122,0.413,0.41374999999999995,0.415,3.4194214876033056
test_list.py,ListTest.test_extendedslicing,0.116,0.119,0.122,0.406,0.40675,0.408,3.4180672268907566
test_itertools.py,TestVariousIteratorArgs.test_product,0.117,0.12,0.122,0.408,0.40925,0.411,3.410416666666667
test_set.py,TestFrozenSet.test_sub,0.121,0.12125,0.122,0.411,0.4135,0.418,3.4103092783505153
test_math.py,MathTests.testCopysign,0.12,0.12075,0.121,0.401,0.4115,0.416,3.4078674948240164
test_set.py,TestOnlySetsTuple.test_ge_gt_le_lt,0.118,0.11975,0.121,0.404,0.40775,0.411,3.4050104384133615
test_itertools.py,TestBasicOps.test_cycle,0.119,0.12025,0.121,0.405,0.40925,0.413,3.4033264033264037
test_set.py,TestFrozenSet.test_xor,0.118,0.12,0.121,0.407,0.40825,0.409,3.4020833333333336
test_list.py,ListTest.test_clear,0.115,0.11625,0.117,0.392,0.39525,0.399,3.4
test_set.py,TestOnlySetsNumeric.test_ge_gt_le_lt,0.117,0.11875,0.121,0.397,0.40325,0.41,3.3957894736842107
test_heapq.py,TestHeapPython.test_heappushpop,0.116,0.11875,0.122,0.399,0.403,0.408,3.3936842105263163
test_list.py,ListTest.test_subscript,0.121,0.121,0.121,0.405,0.41025,0.416,3.3904958677685952
test_set.py,TestOnlySetsDict.test_ge_gt_le_lt,0.119,0.11975,0.12,0.403,0.406,0.409,3.390396659707725
test_with.py,NonexceptionalTestCase.testNestedSingleStatements,0.117,0.11875,0.12,0.394,0.4025,0.406,3.3894736842105266
test_math.py,MathTests.testFrexp,0.115,0.1175,0.12,0.395,0.39825,0.401,3.3893617021276596
test_set.py,TestFrozenSetSubclass.test_sub_and_super,0.116,0.11675,0.117,0.387,0.3955,0.41,3.387580299785867
test_operator.py,PyOperatorTestCase.test_call,0.116,0.1185,0.12,0.399,0.40125,0.405,3.386075949367089
test_itertools.py,TestExamples.test_permutations,0.116,0.11725,0.119,0.394,0.39675000000000005,0.404,3.3837953091684443
test_userlist.py,UserListTest.test_exhausted_iterator,0.116,0.11875,0.12,0.395,0.4015,0.411,3.3810526315789478
test_itertools.py,TestBasicOps.test_chain_from_iterable,0.119,0.12075,0.123,0.404,0.40825,0.414,3.380952380952381
test_math.py,MathTests.testSinh,0.117,0.11825,0.121,0.397,0.39925,0.401,3.3763213530655394
test_ordered_dict.py,CPythonOrderedDictTests.test_move_to_end,0.12,0.1215,0.122,0.408,0.41,0.413,3.3744855967078187
test_range.py,RangeTest.test_range,0.118,0.1195,0.121,0.4,0.40325,0.406,3.3744769874476988
test_set.py,TestFrozenSet.test_or,0.119,0.12125,0.124,0.402,0.40900000000000003,0.416,3.3731958762886602
test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_iterators_empty,0.121,0.122,0.123,0.405,0.41125,0.425,3.3709016393442623
test_operator.py,PyOperatorTestCase.test_concat,0.114,0.1175,0.12,0.387,0.39575000000000005,0.404,3.368085106382979
test_with.py,NestedNonexceptionalTestCase.testSingleArgBoundToSingleElementParenthesizedList,0.116,0.11750000000000001,0.121,0.394,0.3955,0.398,3.3659574468085105
test_collections.py,TestCollectionABCs.test_MutableMapping_subclass,0.121,0.121,0.121,0.405,0.40725,0.411,3.365702479338843
test_set.py,TestFrozenSet.test_sub_and_super,0.115,0.1205,0.123,0.403,0.4055,0.409,3.365145228215768
test_list.py,ListTest.test_basic,0.118,0.1185,0.12,0.396,0.39875000000000005,0.401,3.3649789029535873
test_math.py,MathTests.testAcosh,0.116,0.11875,0.12,0.398,0.3995,0.401,3.36421052631579
test_list.py,ListTest.test_copy,0.12,0.121,0.122,0.4,0.40675,0.416,3.3615702479338845
test_list.py,ListTest.test_delitem,0.119,0.11975,0.12,0.399,0.4025,0.407,3.361169102296451
test_collections.py,TestCounter.test_eq,0.116,0.11825,0.121,0.395,0.39725,0.401,3.3594080338266386
test_with.py,NestedNonexceptionalTestCase.testSingleArgUnbound,0.117,0.11800000000000001,0.121,0.396,0.39625,0.397,3.3580508474576267
test_math.py,MathTests.testCos,0.117,0.1195,0.121,0.39,0.40125,0.41,3.3577405857740588
test_math.py,MathTests.testCbrt,0.117,0.11975,0.121,0.4,0.402,0.405,3.3569937369519836
test_math.py,MathTests.testExp2,0.116,0.117,0.12,0.39,0.39275000000000004,0.399,3.356837606837607
test_with.py,NestedNonexceptionalTestCase.testMultipleArgBound,0.118,0.12,0.123,0.401,0.40275000000000005,0.404,3.3562500000000006
test_math.py,MathTests.testTan,0.119,0.12,0.121,0.394,0.4025,0.408,3.354166666666667
test_math.py,MathTests.testAtanh,0.117,0.118,0.12,0.392,0.39575000000000005,0.399,3.3538135593220346
test_itertools.py,TestExamples.test_islice,0.116,0.12025,0.124,0.398,0.403,0.406,3.3513513513513518
test_math.py,MathTests.testAsinh,0.116,0.1175,0.119,0.382,0.39375000000000004,0.402,3.351063829787235
test_tuple.py,TupleTest.test_subscript,0.118,0.11975,0.121,0.397,0.40125,0.41,3.350730688935282
test_range.py,RangeTest.test_count,0.117,0.119,0.121,0.394,0.3985,0.402,3.34873949579832
test_list.py,ListTest.test_iadd,0.117,0.12025,0.122,0.398,0.4025,0.408,3.3471933471933477
test_generators.py,GeneratorCloseTest.test_close_raises,0.124,0.13225,0.138,0.435,0.44225000000000003,0.458,3.344045368620038
test_dict.py,DictTest.test_get,0.114,0.11674999999999999,0.12,0.385,0.39,0.396,3.340471092077088
test_math.py,MathTests.testLog,0.117,0.11975,0.122,0.398,0.4,0.402,3.340292275574113
test_float.py,GeneralFloatCases.test_float_floor,0.118,0.11925,0.12,0.396,0.39825,0.401,3.339622641509434
test_math.py,MathTests.testAsin,0.118,0.11925,0.12,0.396,0.39825,0.401,3.339622641509434
test_operator.py,PyOperatorTestCase.test_neg,0.115,0.11725,0.119,0.387,0.3915,0.397,3.339019189765459
test_generators.py,GeneratorThrowTest.test_exception_context_with_yield_from,0.115,0.118,0.121,0.392,0.394,0.396,3.338983050847458
test_operator.py,PyOperatorTestCase.test_invert,0.116,0.117,0.119,0.388,0.3905,0.394,3.3376068376068377
test_set.py,TestBasicOpsString.test_issue_37219,0.116,0.1165,0.117,0.387,0.3885,0.39,3.334763948497854
test_itertools.py,RegressionTests.test_sf_950057,0.119,0.11975,0.12,0.394,0.39925,0.402,3.3340292275574113
test_math.py,MathTests.testAcos,0.119,0.11925,0.12,0.393,0.3975,0.403,3.3333333333333335
test_ordered_dict.py,CPythonOrderedDictSubclassTests.test_issue24667,0.12,0.12175,0.123,0.399,0.40549999999999997,0.414,3.330595482546201
test_math.py,MathTests.test_input_exceptions,0.115,0.118,0.12,0.387,0.393,0.399,3.3305084745762716
test_set.py,TestFrozenSet.test_equality,0.117,0.1205,0.123,0.391,0.40125,0.412,3.3298755186721993
test_math.py,MathTests.testExp,0.116,0.11825,0.12,0.385,0.39375000000000004,0.403,3.329809725158563
test_float.py,GeneralFloatCases.test_float_ceil,0.119,0.1195,0.12,0.389,0.39775000000000005,0.402,3.328451882845189
